DNS Name,EC2 Name,uptime or status, .. , no users,avg load for 1 , for 5 min,15 min,disk,size,GB,used,%
oracle.ole.kuali.org,oracle.ole , RDS-no check
test.db.ole.kuali.org,test.db.ole , RDS-no check
ole-oracle.ole.kuali.org,ole-oracle.ole , RDS-no check
demo-oracle.ole.kuali.org,demo-oracle.ole , RDS-no check
mysql.ole.kuali.org,mysql.ole , RDS-no check
,env2.ole.kuali.org, , Fail 65280, ,
,env3.ole.kuali.org, , Fail 65280, ,
3,dev.rice2.ole.kuali.org, ,  21:56:39 up 216 days, 23:55,  0 users,  load average: 0.00, 0.08, 0.12, /dev/xvda1,25G,2.2G,23G,9%,/,,
2,dev.docstore.ole.kuali.org, ,  21:56:41 up 216 days, 23:51,  0 users,  load average: 0.16, 0.06, 0.06, /dev/xvda1,25G,2.4G,23G,10%,/,,
5,tst.docstore.ole.kuali.org, ,  21:56:43 up 180 days,  3:47,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.3G,23G,10%,/,,
6,tst.rice2.ole.kuali.org, ,  21:56:46 up 180 days,  3:44,  0 users,  load average: 0.00, 0.01, 0.05, /dev/xvda1,25G,2.3G,23G,10%,/,,
,env1.ole.kuali.org, ,  21:56:48 up 154 days,  7:22,  0 users,  load average: 0.07, 0.05, 0.05, /dev/xvda1,25G,4.4G,21G,18%,/,,
1,dev.ole.kuali.org, ,  21:56:50 up 154 days,  7:22,  0 users,  load average: 0.06, 0.05, 0.05, /dev/xvda1,25G,4.4G,21G,18%,/,,
4,tst.ole.kuali.org, ,  21:56:53 up 180 days,  3:48,  0 users,  load average: 0.07, 0.04, 0.05, /dev/xvda1,25G,7.1G,18G,29%,/,,
,env7.ole.kuali.org, , Fail 256, ,
,env8.ole.kuali.org, , Fail 256, ,
,env9.ole.kuali.org, , Fail 256, ,
